Date,Actual,ARIMA_Forecast
2009-01-01,4451828.0,5763919.41805462
2009-02-01,5225528.0,5782830.205780664
2009-03-01,8536465.0,5773308.349636156
2009-04-01,9611851.0,5778102.74243196
2009-05-01,10818040.0,5775688.69605995
2009-06-01,9966974.0,5776904.203452527
2009-07-01,9534189.0,5776292.177835066
2009-08-01,9100344.0,5776600.341618122
2009-09-01,8756217.0,5776445.176679796
2009-10-01,8208788.0,5776523.304478744
2009-11-01,6956330.0,5776483.965997807
2009-12-01,6610245.0,5776503.7734940285
2010-01-01,4837316.0,5776493.80013214
2010-02-01,6103211.0,5776498.821864632
2010-03-01,9562808.0,5776496.2933494225
2010-04-01,9828013.0,5776497.566493536
2010-05-01,10151195.0,5776496.925446993
2010-06-01,10084881.0,5776497.248223233
2010-07-01,9226172.0,5776497.08570071
2010-08-01,8376429.0,5776497.16753316
2010-09-01,8228072.0,5776497.1263293335
2010-10-01,7644007.0,5776497.147076058
2010-11-01,7238399.0,5776497.136629781
2010-12-01,6468968.0,5776497.141889633
2011-01-01,4389050.0,5776497.13924122
2011-02-01,5377475.0,5776497.140574735
2011-03-01,8966370.0,5776497.139903291
2011-04-01,10092637.0,5776497.140241372
2011-05-01,9370605.0,5776497.140071143
2011-06-01,10091802.0,5776497.140156856
2011-07-01,8323061.0,5776497.140113698
2011-08-01,8033576.0,5776497.140135429
2011-09-01,7761614.0,5776497.140124488
2011-10-01,7089320.0,5776497.140129997
2011-11-01,6792018.0,5776497.140127223
2011-12-01,6070139.0,5776497.14012862
2012-01-01,5321145.0,5776497.140127917
2012-02-01,6232678.0,5776497.140128271
2012-03-01,10023728.0,5776497.140128093
2012-04-01,10296045.0,5776497.140128182
2012-05-01,11193922.0,5776497.140128137
2012-06-01,10667785.0,5776497.140128159
2012-07-01,8509958.0,5776497.140128148
2012-08-01,8919860.0,5776497.140128153
2012-09-01,8878949.0,5776497.140128151
2012-10-01,8261148.0,5776497.140128152
2012-11-01,7376559.0,5776497.1401281515
2012-12-01,6502337.0,5776497.1401281515
2013-01-01,5223917.0,5776497.1401281515
2013-02-01,6014645.0,5776497.1401281515
2013-03-01,9531040.0,5776497.1401281515
2013-04-01,10348865.0,5776497.1401281515
2013-05-01,11451843.0,5776497.1401281515
2013-06-01,10193391.0,5776497.1401281515
2013-07-01,9552305.0,5776497.1401281515
2013-08-01,9453050.0,5776497.1401281515
2013-09-01,8933701.0,5776497.1401281515
2013-10-01,8557771.0,5776497.1401281515
2013-11-01,7650262.0,5776497.1401281515
2013-12-01,6168401.0,5776497.1401281515
2014-01-01,5010919.0,5776497.1401281515
2014-02-01,5632893.0,5776497.1401281515
2014-03-01,9248033.0,5776497.1401281515
2014-04-01,10645741.0,5776497.1401281515
2014-05-01,11480753.0,5776497.1401281515
2014-06-01,10601656.0,5776497.1401281515
2014-07-01,9863798.0,5776497.1401281515
2014-08-01,9526981.0,5776497.1401281515
2014-09-01,9034119.0,5776497.1401281515
2014-10-01,8967539.0,5776497.1401281515
2014-11-01,7537812.0,5776497.1401281515
2014-12-01,6638554.0,5776497.1401281515
2015-01-01,4918693.0,5776497.1401281515
2015-02-01,5881142.0,5776497.1401281515
2015-03-01,8937762.0,5776497.1401281515
2015-04-01,11177444.0,5776497.1401281515
2015-05-01,11781081.0,5776497.1401281515
2015-06-01,9844642.0,5776497.1401281515
2015-07-01,9445840.0,5776497.1401281515
2015-08-01,8901370.0,5776497.1401281515
2015-09-01,8776440.0,5776497.1401281515
2015-10-01,8257925.0,5776497.1401281515
2015-11-01,7295372.0,5776497.1401281515
2015-12-01,5940949.0,5776497.1401281515
2016-01-01,4860205.0,5776497.1401281515
2016-02-01,5661710.0,5776497.1401281515
2016-03-01,8897327.0,5776497.1401281515
2016-04-01,10646672.0,5776497.1401281515
2016-05-01,10658413.0,5776497.1401281515
2016-06-01,9704702.0,5776497.1401281515
2016-07-01,8951278.0,5776497.1401281515
2016-08-01,8797715.0,5776497.1401281515
2016-09-01,8698482.0,5776497.1401281515
2016-10-01,7904185.0,5776497.1401281515
2016-11-01,7390187.0,5776497.1401281515
2016-12-01,5770828.0,5776497.1401281515
2017-01-01,4853791.0,5776497.1401281515
2017-02-01,5827184.0,5776497.1401281515
2017-03-01,9125343.0,5776497.1401281515
2017-04-01,10116951.0,5776497.1401281515
2017-05-01,11611715.0,5776497.1401281515
2017-06-01,10504935.0,5776497.1401281515
2017-07-01,9082903.0,5776497.1401281515
2017-08-01,9374477.0,5776497.1401281515
2017-09-01,9091460.0,5776497.1401281515
2017-10-01,7962955.0,5776497.1401281515
2017-11-01,7502906.0,5776497.1401281515
2017-12-01,5876727.0,5776497.1401281515
2018-01-01,5134673.0,5776497.1401281515
2018-02-01,5964908.0,5776497.1401281515
2018-03-01,8839478.0,5776497.1401281515
2018-04-01,9568485.0,5776497.1401281515
2018-05-01,10956227.0,5776497.1401281515
2018-06-01,10328519.0,5776497.1401281515
2018-07-01,8122226.0,5776497.1401281515
2018-08-01,8164314.0,5776497.1401281515
2018-09-01,8230582.0,5776497.1401281515
2018-10-01,7315472.0,5776497.1401281515
2018-11-01,6428125.0,5776497.1401281515
2018-12-01,4905324.0,5776497.1401281515
2019-01-01,4438773.0,5776497.1401281515
2019-02-01,4957161.0,5776497.1401281515
