Date,Sales,Sales_diff,Optimized_Seasonal_Naive_Forecast
2009-01-01,4451828.0,-1349649.0,12762784.965089878
2009-02-01,5225528.0,773700.0,13047809.659975719
2009-03-01,8536465.0,3310937.0,14237285.704067908
2009-04-01,9611851.0,1075386.0,14682567.93863629
2009-05-01,10818040.0,1206189.0,15002709.617649116
2009-06-01,9966974.0,-851066.0,14694292.391900036
2009-07-01,9534189.0,-432785.0,14037520.785198577
2009-08-01,9100344.0,-433845.0,13988923.972147908
2009-09-01,8756217.0,-344127.0,13832451.619414702
2009-10-01,8208788.0,-547429.0,13961704.67937991
2009-11-01,6956330.0,-1252458.0,13721983.358392736
2009-12-01,6610245.0,-346085.0,13387245.719945243
2010-01-01,4837316.0,-1772929.0,12929408.160862831
2010-02-01,6103211.0,1265895.0,13214432.855748672
2010-03-01,9562808.0,3459597.0,14403908.899840862
2010-04-01,9828013.0,265205.0,14849191.134409243
2010-05-01,10151195.0,323182.0,15169332.813422069
2010-06-01,10084881.0,-66314.0,14860915.58767299
2010-07-01,9226172.0,-858709.0,14204143.98097153
2010-08-01,8376429.0,-849743.0,14155547.167920863
2010-09-01,8228072.0,-148357.0,13999074.815187655
2010-10-01,7644007.0,-584065.0,14128327.875152864
2010-11-01,7238399.0,-405608.0,13888606.55416569
2010-12-01,6468968.0,-769431.0,13553868.915718198
2011-01-01,4389050.0,-2079918.0,13096031.356635785
2011-02-01,5377475.0,988425.0,13381056.051521625
2011-03-01,8966370.0,3588895.0,14570532.095613817
2011-04-01,10092637.0,1126267.0,15015814.330182197
2011-05-01,9370605.0,-722032.0,15335956.009195022
2011-06-01,10091802.0,721197.0,15027538.783445945
2011-07-01,8323061.0,-1768741.0,14370767.176744483
2011-08-01,8033576.0,-289485.0,14322170.363693817
2011-09-01,7761614.0,-271962.0,14165698.010960612
2011-10-01,7089320.0,-672294.0,14294951.070925819
2011-11-01,6792018.0,-297302.0,14055229.749938643
2011-12-01,6070139.0,-721879.0,13720492.111491151
2012-01-01,5321145.0,-748994.0,13262654.55240874
2012-02-01,6232678.0,911533.0,13547679.247294579
2012-03-01,10023728.0,3791050.0,14737155.29138677
2012-04-01,10296045.0,272317.0,15182437.525955152
2012-05-01,11193922.0,897877.0,15502579.204967976
2012-06-01,10667785.0,-526137.0,15194161.979218898
2012-07-01,8509958.0,-2157827.0,14537390.372517439
2012-08-01,8919860.0,409902.0,14488793.55946677
2012-09-01,8878949.0,-40911.0,14332321.206733566
2012-10-01,8261148.0,-617801.0,14461574.266698772
2012-11-01,7376559.0,-884589.0,14221852.945711598
2012-12-01,6502337.0,-874222.0,13887115.307264104
2013-01-01,5223917.0,-1278420.0,13429277.748181693
2013-02-01,6014645.0,790728.0,13714302.443067536
2013-03-01,9531040.0,3516395.0,14903778.487159723
2013-04-01,10348865.0,817825.0,15349060.721728105
2013-05-01,11451843.0,1102978.0,15669202.400740933
2013-06-01,10193391.0,-1258452.0,15360785.174991852
2013-07-01,9552305.0,-641086.0,14704013.568290392
2013-08-01,9453050.0,-99255.0,14655416.755239725
2013-09-01,8933701.0,-519349.0,14498944.40250652
2013-10-01,8557771.0,-375930.0,14628197.462471725
2013-11-01,7650262.0,-907509.0,14388476.141484551
2013-12-01,6168401.0,-1481861.0,14053738.50303706
2014-01-01,5010919.0,-1157482.0,13595900.943954647
2014-02-01,5632893.0,621974.0,13880925.63884049
2014-03-01,9248033.0,3615140.0,15070401.682932679
2014-04-01,10645741.0,1397708.0,15515683.917501058
2014-05-01,11480753.0,835012.0,15835825.596513886
2014-06-01,10601656.0,-879097.0,15527408.370764807
2014-07-01,9863798.0,-737858.0,14870636.764063345
2014-08-01,9526981.0,-336817.0,14822039.951012678
2014-09-01,9034119.0,-492862.0,14665567.598279472
2014-10-01,8967539.0,-66580.0,14794820.65824468
2014-11-01,7537812.0,-1429727.0,14555099.337257504
2014-12-01,6638554.0,-899258.0,14220361.698810013
2015-01-01,4918693.0,-1719861.0,13762524.139727602
2015-02-01,5881142.0,962449.0,14047548.834613442
2015-03-01,8937762.0,3056620.0,15237024.878705632
2015-04-01,11177444.0,2239682.0,15682307.113274014
2015-05-01,11781081.0,603637.0,16002448.79228684
2015-06-01,9844642.0,-1936439.0,15694031.56653776
2015-07-01,9445840.0,-398802.0,15037259.9598363
2015-08-01,8901370.0,-544470.0,14988663.146785632
2015-09-01,8776440.0,-124930.0,14832190.794052426
2015-10-01,8257925.0,-518515.0,14961443.854017634
2015-11-01,7295372.0,-962553.0,14721722.53303046
2015-12-01,5940949.0,-1354423.0,14386984.894582966
2016-01-01,4860205.0,-1080744.0,13929147.335500555
2016-02-01,5661710.0,801505.0,14214172.030386396
2016-03-01,8897327.0,3235617.0,15403648.074478585
2016-04-01,10646672.0,1749345.0,15848930.309046967
2016-05-01,10658413.0,11741.0,16169071.988059793
2016-06-01,9704702.0,-953711.0,15860654.762310714
2016-07-01,8951278.0,-753424.0,15203883.155609254
2016-08-01,8797715.0,-153563.0,15155286.342558587
2016-09-01,8698482.0,-99233.0,14998813.98982538
2016-10-01,7904185.0,-794297.0,15128067.049790587
2016-11-01,7390187.0,-513998.0,14888345.728803413
2016-12-01,5770828.0,-1619359.0,14553608.090355922
2017-01-01,4853791.0,-917037.0,14095770.531273508
2017-02-01,5827184.0,973393.0,14380795.22615935
2017-03-01,9125343.0,3298159.0,15570271.27025154
2017-04-01,10116951.0,991608.0,16015553.50481992
2017-05-01,11611715.0,1494764.0,16335695.183832746
2017-06-01,10504935.0,-1106780.0,16027277.958083669
2017-07-01,9082903.0,-1422032.0,15370506.351382207
2017-08-01,9374477.0,291574.0,15321909.53833154
2017-09-01,9091460.0,-283017.0,15165437.185598336
2017-10-01,7962955.0,-1128505.0,15294690.245563542
2017-11-01,7502906.0,-460049.0,15054968.924576366
2017-12-01,5876727.0,-1626179.0,14720231.286128875
2018-01-01,5134673.0,-742054.0,14262393.727046464
2018-02-01,5964908.0,830235.0,14547418.421932302
2018-03-01,8839478.0,2874570.0,15736894.466024494
2018-04-01,9568485.0,729007.0,16182176.700592875
2018-05-01,10956227.0,1387742.0,16502318.3796057
2018-06-01,10328519.0,-627708.0,16193901.153856622
2018-07-01,8122226.0,-2206293.0,15537129.547155162
2018-08-01,8164314.0,42088.0,15488532.734104494
2018-09-01,8230582.0,66268.0,15332060.38137129
2018-10-01,7315472.0,-915110.0,15461313.441336496
2018-11-01,6428125.0,-887347.0,15221592.120349322
2018-12-01,4905324.0,-1522801.0,14886854.481901828
2019-01-01,4438773.0,-466551.0,14429016.922819417
2019-02-01,4957161.0,518388.0,14714041.61770526
2019-03-01,8106086.0,3148925.0,15903517.661797447
2019-04-01,8789443.0,683357.0,16348799.896365829
2019-05-01,10040641.0,1251198.0,16668941.575378656
2019-06-01,9086365.0,-954276.0,16360524.349629575
2019-07-01,7755944.0,-1330421.0,15703752.742928116
2019-08-01,7425886.0,-330058.0,15655155.929877449
2019-09-01,7358953.0,-66933.0,15498683.577144243
2019-10-01,6509382.0,-849571.0,15627936.63710945
2019-11-01,5652751.0,-856631.0,15388215.316122275
2019-12-01,4598151.0,-1054600.0,15053477.677674783
2020-01-01,3931603.0,-666548.0,14595640.11859237
2020-02-01,4449171.0,517568.0,14880664.813478213
2020-03-01,3960816.0,-488355.0,16070140.857570402
2020-04-01,1643097.0,-2317719.0,16515423.092138782
2020-05-01,4390943.0,2747846.0,16835564.77115161
2020-06-01,6745807.0,2354864.0,16527147.54540253
2020-07-01,6277936.0,-467871.0,15870375.938701069
2020-08-01,6110652.0,-167284.0,15821779.125650402
2020-09-01,6404660.0,294008.0,15665306.772917196
2020-10-01,4951080.0,-1453580.0,15794559.832882404
2020-11-01,4460191.0,-490889.0,15554838.511895228
2020-12-01,4163854.0,-296337.0,15220100.873447737
2021-01-01,2763765.0,-1400089.0,14762263.314365325
2021-02-01,3460867.0,697102.0,15047288.009251166
2021-03-01,5696800.0,2235933.0,16236764.053343356
2021-04-01,6326641.0,629841.0,16682046.287911737
2021-05-01,6472294.0,145653.0,17002187.966924563
2021-06-01,6849952.0,377658.0,16693770.741175484
2021-07-01,5847114.0,-1002838.0,16036999.134474024
2021-08-01,5786020.0,-61094.0,15988402.321423355
2021-09-01,5609918.0,-176102.0,15831929.96869015
2021-10-01,5931955.0,322037.0,15961183.028655358
2021-11-01,4306017.0,-1625938.0,15721461.707668183
2021-12-01,3884924.0,-421093.0,15386724.06922069
2022-01-01,3527569.0,-357355.0,14928886.510138279
2022-02-01,3932475.0,404906.0,15213911.20502412
2022-03-01,5298968.0,1366493.0,16403387.249116309
2022-04-01,4884010.0,-414958.0,16848669.483684693
2022-05-01,5228615.0,344605.0,17168811.162697516
2022-06-01,6129465.0,900850.0,16860393.936948437
2022-07-01,4736452.0,-1393013.0,16203622.330246978
2022-08-01,6199230.0,1462778.0,16155025.51719631
2022-09-01,4637223.0,-1562007.0,15998553.164463103
2022-10-01,3873987.0,-763236.0,16127806.224428311
2022-11-01,4339192.0,465205.0,15888084.903441137
2022-12-01,3634891.0,-704301.0,15553347.264993645
2023-01-01,3237116.0,-397775.0,15095509.705911232
2023-02-01,3719138.0,482022.0,15380534.400797073
2023-03-01,4940515.0,1221377.0,16570010.444889264
2023-04-01,4760790.0,-179725.0,17015292.679457646
2023-05-01,5618018.0,857228.0,17335434.35847047
2023-06-01,6931717.0,1313699.0,17027017.13272139
2023-07-01,4700526.0,-2231191.0,16370245.52601993
2023-08-01,5524332.0,823806.0,16321648.712969264
2023-09-01,5741361.0,217029.0,16165176.36023606
2023-10-01,4243062.0,-1498299.0,16294429.420201266
2023-11-01,4027578.0,-215484.0,16054708.09921409
