Date,Actual,Optimized_SARIMA_Forecast
2009-01-01,4451828.0,5249614.152838579
2009-02-01,5225528.0,6028273.295255337
2009-03-01,8536465.0,9148685.429760687
2009-04-01,9611851.0,11243743.763113825
2009-05-01,10818040.0,12364875.832477441
2009-06-01,9966974.0,11061567.72854708
2009-07-01,9534189.0,9490865.694034224
2009-08-01,9100344.0,9353057.285581468
2009-09-01,8756217.0,8417471.480450759
2009-10-01,8208788.0,7405038.798785091
2009-11-01,6956330.0,6482963.35201963
2009-12-01,6610245.0,5904024.107729135
2010-01-01,4837316.0,4961756.626256946
2010-02-01,6103211.0,5700278.5327108605
2010-03-01,9562808.0,8853104.200586505
2010-04-01,9828013.0,10921986.412930219
2010-05-01,10151195.0,12064257.470853712
2010-06-01,10084881.0,10743878.203584298
2010-07-01,9226172.0,9186962.288351614
2010-08-01,8376429.0,9038020.655933253
2010-09-01,8228072.0,8111425.682330213
2010-10-01,7644007.0,7091732.295965834
2010-11-01,7238399.0,6175520.359439627
2010-12-01,6468968.0,5591845.933957705
2011-01-01,4389050.0,4653402.431638061
2011-02-01,5377475.0,5388836.216229695
2011-03-01,8966370.0,8544155.751424134
2011-04-01,10092637.0,10611023.997194922
2011-05-01,9370605.0,11754921.469373219
2011-06-01,10091802.0,10433228.762564251
2011-07-01,8323061.0,8877373.538615454
2011-08-01,8033576.0,8727575.326228365
2011-09-01,7761614.0,7801672.098898692
2011-10-01,7089320.0,6781420.0806211345
2011-11-01,6792018.0,5865659.277156914
2011-12-01,6070139.0,5281620.531207765
2012-01-01,5321145.0,4343471.242312106
2012-02-01,6232678.0,5078667.429659995
2012-03-01,10023728.0,8234178.840702487
2012-04-01,10296045.0,10300892.133745352
2012-05-01,11193922.0,11444914.740734177
2012-06-01,10667785.0,10123120.979100194
2012-07-01,8509958.0,8567347.36375907
2012-08-01,8919860.0,8417483.246900368
2012-09-01,8878949.0,7491633.241890038
2012-10-01,8261148.0,6471338.24298906
2012-11-01,7376559.0,5555612.1492859395
2012-12-01,6502337.0,4971545.372856547
2013-01-01,5223917.0,4033418.7204699796
2013-02-01,6014645.0,4768596.627305391
2013-03-01,9531040.0,7924122.801098405
2013-04-01,10348865.0,9990824.172221504
2013-05-01,11451843.0,11134856.40696707
2013-06-01,10193391.0,9813054.87026819
2013-07-01,9552305.0,8257287.533817966
2013-08-01,9453050.0,8107418.346330088
2013-09-01,8933701.0,7181572.43619585
2013-10-01,8557771.0,6161274.130405405
2013-11-01,7650262.0,5245550.707239244
2013-12-01,6168401.0,4661481.774170592
2014-01-01,5010919.0,3723356.863416126
2014-02-01,5632893.0,4458533.363765793
2014-03-01,9248033.0,7614060.673391197
2014-04-01,10645741.0,9680761.127252802
2014-05-01,11480753.0,10824794.10274908
2014-06-01,10601656.0,9502991.967843888
2014-07-01,9863798.0,7947225.1144857295
2014-08-01,9526981.0,7797355.536868327
2014-09-01,9034119.0,6871509.941790073
2014-10-01,8967539.0,5851211.3815706065
2014-11-01,7537812.0,4935488.163873093
2014-12-01,6638554.0,4351419.064874609
2015-01-01,4918693.0,3413294.288119708
2015-02-01,5881142.0,4148470.680255661
2015-03-01,8937762.0,7303998.0772709595
2015-04-01,11177444.0,9370698.460559312
2015-05-01,11781081.0,10514731.493048266
2015-06-01,9844642.0,9192929.312117632
2015-07-01,9445840.0,7637162.495928131
2015-08-01,8901370.0,7487292.888294524
2015-09-01,8776440.0,6561447.317456386
2015-10-01,8257925.0,5541148.737661386
2015-11-01,7295372.0,4625425.53577244
2015-12-01,5940949.0,4041356.424007467
2016-01-01,4860205.0,3103231.6575623685
2016-02-01,5661710.0,3838408.041372458
2016-03-01,8897327.0,6993935.445111455
2016-04-01,10646672.0,9060635.822969966
2016-05-01,10658413.0,10204668.859843884
2016-06-01,9704702.0,8882866.675372094
2016-07-01,8951278.0,7327099.862042314
2016-08-01,8797715.0,7177230.252099289
