Date,Actual,SARIMA_Forecast
2009-01-01,4451828.0,5297099.096744541
2009-02-01,5225528.0,6084945.996088831
2009-03-01,8536465.0,9268784.661578892
2009-04-01,9611851.0,11277278.22160297
2009-05-01,10818040.0,12428257.37546164
2009-06-01,9966974.0,11086687.66520173
2009-07-01,9534189.0,9590848.474698842
2009-08-01,9100344.0,9386983.100511245
2009-09-01,8756217.0,8530058.956331156
2009-10-01,8208788.0,7530678.196163469
2009-11-01,6956330.0,6611239.321382917
2009-12-01,6610245.0,6030371.24631198
2010-01-01,4837316.0,5050857.430219196
2010-02-01,6103211.0,5785092.842121987
2010-03-01,9562808.0,9010158.26420417
2010-04-01,9828013.0,10951450.13586938
2010-05-01,10151195.0,12086382.720115291
2010-06-01,10084881.0,10755891.081815436
2010-07-01,9226172.0,9268430.472632106
2010-08-01,8376429.0,9137767.87105067
2010-09-01,8228072.0,8259751.170876673
2010-10-01,7644007.0,7273916.817794218
2010-11-01,7238399.0,6433659.619401815
2010-12-01,6468968.0,5877117.206349031
2011-01-01,4389050.0,4833650.220521826
2011-02-01,5377475.0,5560669.540220398
2011-03-01,8966370.0,8791284.072965229
2011-04-01,10092637.0,10723530.614939278
2011-05-01,9370605.0,11856303.335108802
2011-06-01,10091802.0,10527302.802399697
2011-07-01,8323061.0,9040969.948072374
2011-08-01,8033576.0,8920160.420553397
2011-09-01,7761614.0,8039304.66785481
2011-10-01,7089320.0,7055293.657625898
2011-11-01,6792018.0,6225694.29218252
2011-12-01,6070139.0,5672426.106880271
2012-01-01,5321145.0,4620351.0411199145
2012-02-01,6232678.0,5346399.076693606
2012-03-01,10023728.0,8577760.518283458
2012-04-01,10296045.0,10508789.561244925
2012-05-01,11193922.0,11641271.56427421
2012-06-01,10667785.0,10312471.733987944
2012-07-01,8509958.0,8826290.675169522
2012-08-01,8919860.0,8706807.368844414
2012-09-01,8878949.0,7825569.480417957
2012-10-01,8261148.0,6841803.891660631
2012-11-01,7376559.0,6013639.067746944
2012-12-01,6502337.0,5460811.592644251
2013-01-01,5223917.0,4407577.8815744715
2013-02-01,6014645.0,5133495.182558783
2013-03-01,9531040.0,8364957.157883983
2013-04-01,10348865.0,10295822.32579653
2013-05-01,11451843.0,11428265.198374715
2013-06-01,10193391.0,10099492.382582115
2013-07-01,9552305.0,8613331.755399518
2013-08-01,9453050.0,8494026.958100518
2013-09-01,8933701.0,7612737.634304954
2013-10-01,8557771.0,6629005.079213567
2013-11-01,7650262.0,5801033.344214883
2013-12-01,6168401.0,5248265.188589878
2014-01-01,5010919.0,4194875.524164244
2014-02-01,5632893.0,4920775.228306988
2014-03-01,9248033.0,8152250.735446693
2014-04-01,10645741.0,10083093.845820481
2014-05-01,11480753.0,11215531.451450175
2014-06-01,10601656.0,9886762.271801358
2014-07-01,9863798.0,8400604.394711606
2014-08-01,9526981.0,8281323.62468087
2014-09-01,9034119.0,7400027.377698067
2014-10-01,8967539.0,6416299.2689294815
2014-11-01,7537812.0,5588353.523648296
2014-12-01,6638554.0,5035593.352409486
2015-01-01,4918693.0,3982182.6967029083
2015-02-01,5881142.0,4708080.032315378
2015-03-01,8937762.0,7939557.360833778
2015-04-01,11177444.0,9870397.502268614
2015-05-01,11781081.0,11002834.398968415
2015-06-01,9844642.0,9674065.708743606
2015-07-01,9445840.0,8187908.201815632
2015-08-01,8901370.0,8068630.665848925
2015-09-01,8776440.0,7187333.487006928
2015-10-01,8257925.0,6203605.97671223
2015-11-01,7295372.0,5375663.729640228
2015-12-01,5940949.0,4822904.633097714
2016-01-01,4860205.0,3769491.151970208
2016-02-01,5661710.0,4495388.168779122
2016-03-01,8897327.0,7726865.742454619
2016-04-01,10646672.0,9657705.484271048
2016-05-01,10658413.0,10790142.285549073
2016-06-01,9704702.0,9461373.661200602
2016-07-01,8951278.0,7975216.204096308
